dataset,Condition,Self_role,Other_role,self_weight,other_weight,caseID,Self_utility_label_0,self_utility_label_1,Other_utility_label_0,other_utility_label_1,joint_utility_label_0,joint_utility_label_1,final_decision,self_utility,other utility,joint_utility,oracle_joint_utility,joint_regret,expected_joint_decision,direction_matches_final,selected_model_seed,model_self_utility,model_other_utility,self_v0_model_seed,other_v0_model_seed,self_v0_model_utility,final_model_self_sacrifice,negotiate_alignment,flag
acs_coverage,self_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",2,0.859563492063492,0.164375,0.25956349206349205,0.7643749999999999,0.559563492063492,0.464375,0,0.859563492063492,0.25956349206349205,0.559563492063492,0.559563492063492,0,,,92,0.7096180555555556,0.30232638888888896,,,,,,
acs_coverage,multi_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",2,0.859563492063492,0.164375,0.25956349206349205,0.7643749999999999,0.559563492063492,0.464375,0,0.859563492063492,0.25956349206349205,0.559563492063492,0.559563492063492,0,,,92,0.7096180555555556,0.30232638888888896,,,,,,
acs_coverage,aggregate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",2,0.859563492063492,0.164375,0.25956349206349205,0.7643749999999999,0.559563492063492,0.464375,0,0.859563492063492,0.25956349206349205,0.559563492063492,0.559563492063492,0,,,,,,,,,,,
acs_coverage,negotiate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",2,0.859563492063492,0.164375,0.25956349206349205,0.7643749999999999,0.559563492063492,0.464375,1,0.164375,0.7643749999999999,0.464375,0.559563492063492,0.095188492063492,1,1,28,0.6478291062801933,0.5874124396135267,92,12,0.7096180555555556,0.06178894927536227,other,
acs_coverage,single,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",3,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0,0.15235087719298246,0.15235087719298246,0.15235087719298246,0.8646666666666666,0.7123157894736841,,,1,0.5975875603864735,0.3705042270531402,,,,,,
acs_coverage,self_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",3,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0,0.15235087719298246,0.15235087719298246,0.15235087719298246,0.8646666666666666,0.7123157894736841,,,92,0.7096180555555556,0.30232638888888896,,,,,,
acs_coverage,multi_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",3,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0,0.15235087719298246,0.15235087719298246,0.15235087719298246,0.8646666666666666,0.7123157894736841,,,92,0.7096180555555556,0.30232638888888896,,,,,,
acs_coverage,aggregate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",3,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0,0.15235087719298246,0.15235087719298246,0.15235087719298246,0.8646666666666666,0.7123157894736841,,,,,,,,,,,
acs_coverage,negotiate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",3,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,0.15235087719298246,0.8646666666666666,1,0.8646666666666666,0.8646666666666666,0.8646666666666666,0.8646666666666666,0,1,1,28,0.6544957729468599,0.5940791062801933,92,12,0.7096180555555556,0.05512228260869567,other,
acs_coverage,single,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",4,0.8792307692307691,0.13611111111111113,0.2792307692307693,0.736111111111111,0.5792307692307692,0.4361111111111111,0,0.8792307692307691,0.2792307692307693,0.5792307692307692,0.5792307692307692,0,,,1,0.6509208937198069,0.4238375603864735,,,,,,
