dataset,Condition,Self_role,Other_role,self_weight,other_weight,caseID,Self_utility_label_0,self_utility_label_1,Other_utility_label_0,other_utility_label_1,joint_utility_label_0,joint_utility_label_1,final_decision,self_utility,other utility,joint_utility,oracle_joint_utility,joint_regret,expected_joint_decision,direction_matches_final,selected_model_seed,model_self_utility,model_other_utility,self_v0_model_seed,other_v0_model_seed,self_v0_model_utility,final_model_self_sacrifice,negotiate_alignment,flag,avg_utility,Nash_utility,source_caseID,selection_alignment,selection_model_self_sacrifice,selection_score
acs_coverage,single,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",0,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,0,0.17802721088435375,0.17802721088435375,0.17802721088435375,0.8451633986928104,0.6671361878084567,,,1,0.4932844256827627,0.6641052964039326,,,,,,,0.17802721088435375,0.03169368781526216,907,self,0.03265134855480856,0.32111024334338995
acs_coverage,self_optimal,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",0,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,1,0.8451633986928104,0.8451633986928104,0.8451633986928104,0.8451633986928104,0,,,393,0.6818884599157612,0.6433706799224078,,,,,,,0.8451633986928104,0.7143011704899824,907,self,0.03265134855480856,0.32111024334338995
acs_coverage,multi_optimal,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",0,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,1,0.8451633986928104,0.8451633986928104,0.8451633986928104,0.8451633986928104,0,,,393,0.6818884599157612,0.6433706799224078,,,,,,,0.8451633986928104,0.7143011704899824,907,self,0.03265134855480856,0.32111024334338995
acs_coverage,aggregate,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",0,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,1,0.8451633986928104,0.8451633986928104,0.8451633986928104,0.8451633986928104,0,,,,,,,,,,,,0.8451633986928104,0.7143011704899824,907,self,0.03265134855480856,0.32111024334338995
acs_coverage,negotiate,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",0,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,0.17802721088435375,0.8451633986928104,1,0.8451633986928104,0.8451633986928104,0.8451633986928104,0.8451633986928104,0,1,1,385,0.6492371113609526,0.686325845159557,393,69,0.6818884599157612,0.03265134855480856,self,,0.8451633986928104,0.7143011704899824,907,self,0.03265134855480856,0.32111024334338995
acs_coverage,single,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",1,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,0,0.18511111111111112,0.18511111111111112,0.18511111111111112,0.8343999999999999,0.6492888888888888,,,1,0.5132844256827627,0.6841052964039325,,,,,,,0.18511111111111112,0.03426612345679012,913,self,0.018662334509474077,0.31848036410328756
acs_coverage,self_optimal,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",1,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,1,0.8343999999999999,0.8343999999999999,0.8343999999999999,0.8343999999999999,0,,,393,0.6585551265824279,0.6200373465890745,,,,,,,0.8343999999999999,0.6962233599999998,913,self,0.018662334509474077,0.31848036410328756
acs_coverage,multi_optimal,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",1,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,1,0.8343999999999999,0.8343999999999999,0.8343999999999999,0.8343999999999999,0,,,393,0.6585551265824279,0.6200373465890745,,,,,,,0.8343999999999999,0.6962233599999998,913,self,0.018662334509474077,0.31848036410328756
acs_coverage,aggregate,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",1,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,1,0.8343999999999999,0.8343999999999999,0.8343999999999999,0.8343999999999999,0,,,,,,,,,,,,0.8343999999999999,0.6962233599999998,913,self,0.018662334509474077,0.31848036410328756
acs_coverage,negotiate,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",1,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,0.18511111111111112,0.8343999999999999,1,0.8343999999999999,0.8343999999999999,0.8343999999999999,0.8343999999999999,0,1,1,534,0.6398927920729538,0.6632560356754796,393,139,0.6585551265824279,0.018662334509474077,self,,0.8343999999999999,0.6962233599999998,913,self,0.018662334509474077,0.31848036410328756
